DayOrder,DayOfWeekStr,starttime,endtime,permit,PermitLocation,locationdesc,optionaltext,locationid,scheduleid,start24,end24,CNN,Addr_Date_Create,Addr_Date_Modified,block,lot,ColdTruck,Applicant,X,Y,Latitude,Longitude,Location,FacilityType,Permit_status,Approved,Received,PriorPermit,ExpirationDate
1,Monday,10AM,11AM,17MFF-0197,1144 LARKIN ST,Set-up at 1180 Larkin St: 10:00am-10:15am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037691,,10:00,11:00,8137000,8/9/11 10:50,8/9/11 10:50,279,12,Y,Munch A Bunch,6007320.109,2115238.578,37.78845535,-122.4184939,"(37.7884553541868, -122.418493877061)",Truck,APPROVED,11/21/17,11/16/17,1/1/00,7/15/18
5,Friday,7AM,8AM,17MFF-0197,400 PARNASSUS AVE,Set-up at 500 Parnassus Ave - 7:00am-8:00am M-F,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037688,,7:00,8:00,10293000,8/9/11 10:43,8/9/11 10:44,1756,1,Y,Munch A Bunch,5996069.561,2106506.456,37.76383946,-122.456787,"(37.7638394608477, -122.456786975662)",Truck,APPROVED,11/21/17,11/16/17,1/1/00,7/15/18
2,Tuesday,10AM,11AM,17MFF-0197,1144 LARKIN ST,Set-up at 1180 Larkin St: 10:00am-10:15am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037691,,10:00,11:00,8137000,8/9/11 10:50,8/9/11 10:50,279,12,Y,Munch A Bunch,6007320.109,2115238.578,37.78845535,-122.4184939,"(37.7884553541868, -122.418493877061)",Truck,APPROVED,11/21/17,11/16/17,1/1/00,7/15/18
5,Friday,10AM,11AM,17MFF-0197,1144 LARKIN ST,Set-up at 1180 Larkin St: 10:00am-10:15am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037691,,10:00,11:00,8137000,8/9/11 10:50,8/9/11 10:50,279,12,Y,Munch A Bunch,6007320.109,2115238.578,37.78845535,-122.4184939,"(37.7884553541868, -122.418493877061)",Truck,APPROVED,11/21/17,11/16/17,1/1/00,7/15/18
1,Monday,10AM,11AM,17MFF-0197,365 FULTON ST,10:00am-10:15am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037692,,10:00,11:00,5882000,8/9/11 11:01,8/9/11 11:01,792,28,Y,Munch A Bunch,6006015.891,2111737.131,37.77876773,-122.4227573,"(37.7787677332342, -122.42275734107)",Truck,APPROVED,11/21/17,11/16/17,1/1/00,7/15/18
6,Saturday,8AM,4PM,17MFF-0197,1850 MISSION ST,8:00am-3:30pm,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037696,,8:00,16:00,9114000,8/9/11 11:07,8/9/11 11:08,3547,2,Y,Munch A Bunch,6006736.523,2107601.904,37.76745402,-122.4199709,"(37.7674540216658, -122.419970859837)",Truck,APPROVED,11/21/17,11/16/17,1/1/00,7/15/18
1,Monday,10AM,11AM,17MFF-0197,1525 BRYANT ST,10:25am-10:30am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037693,,10:00,11:00,24215000,8/9/11 11:03,8/9/11 11:03,3922A,001A,Y,Munch A Bunch,6009438.812,2107690.941,37.76785037,-122.4106303,"(37.7678503715903, -122.41063025867)",Truck,APPROVED,11/21/17,11/16/17,1/1/00,7/15/18
1,Monday,7AM,8AM,17MFF-0197,400 PARNASSUS AVE,Set-up at 500 Parnassus Ave - 7:00am-8:00am M-F,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037688,,7:00,8:00,10293000,8/9/11 10:43,8/9/11 10:44,1756,1,Y,Munch A Bunch,5996069.561,2106506.456,37.76383946,-122.456787,"(37.7638394608477, -122.456786975662)",Truck,APPROVED,11/21/17,11/16/17,1/1/00,7/15/18
2,Tuesday,9AM,10AM,17MFF-0197,333 12TH ST,9:15am-9:30am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037690,,9:00,10:00,546000,8/9/11 10:45,8/9/11 10:46,3521,22,Y,Munch A Bunch,6008401.25,2108731.922,37.77065044,-122.4142927,"(37.770650436068, -122.414292737958)",Truck,APPROVED,11/21/17,11/16/17,1/1/00,7/15/18
3,Wednesday,9AM,10AM,17MFF-0197,333 12TH ST,9:15am-9:30am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037690,,9:00,10:00,546000,8/9/11 10:45,8/9/11 10:46,3521,22,Y,Munch A Bunch,6008401.25,2108731.922,37.77065044,-122.4142927,"(37.770650436068, -122.414292737958)",Truck,APPROVED,11/21/17,11/16/17,1/1/00,7/15/18
